,0
0,Flexibility–usability tradeoff
1,Scott Klemmer
2,Salishan languages
3,Walking vehicle
4,Da Vinci Surgical System
5,Davies–Bouldin index
6,CJK characters
7,Compendium (software)
8,Mega-D botnet
9,The Jesus Incident
10,Keyboard shortcut
11,The Magic Bush
12,Stargirl (TV series)
13,Nonlinear dimensionality reduction
14,Zillions of Games
15,Neural Impulse Actuator
16,Sargon III
17,SpeechWorks
18,Android Kunjappan Version 5.25
19,Universal translator
20,Time Trackers
21,PRODIGAL (computer system)
22,Resource allocation (computer)
23,OpenKBM
24,"OMG, I'm a Robot!"
25,NAL / ADE Pushpak
26,Artificial intelligence of things
27,Hydroxamic acid
28,Perseus Cluster
29,The Sons of Heaven
30,Canon Communicator
31,Jewel of Vicenza
32,Utility system
33,Social model of disability
34,Camfecting
35,Yeti (Doctor Who)
36,Time-compressed speech
37,Recursive neural network
38,Effective dose (radiation)
39,Computational human phantom
40,MASON (Java)
41,Zipf's law
42,Findability
43,Ultrasound computer tomography
44,Alita (Battle Angel Alita)
45,Dithiol
46,Information retrieval
47,Wagaydyic languages
48,Peter J. Fleming
49,Low-rank matrix approximations
50,Stiquito
51,Time temperature indicator
52,DjVu
53,Screenless video
54,Comparison of 3D printers
55,Forward algorithm
56,Accelerator table
57,Lexxe
58,Hydrazide
59,Fernanda Viégas
60,Attensity
61,Seventh Edition Unix terminal interface
62,Autoassociative memory
63,Out-of-bag error
64,Vapnik–Chervonenkis dimension
65,Minimally invasive education
66,Home lift
67,Zero Divide
68,Propenyl
69,Surround sound
70,Thermostat
71,Godkiller (Marvel Comics)
72,International Conference on Autonomous Agents and Multiagent Systems
73,Isometric projection
74,Multiple satellite imaging
75,Gods Unchained
76,MulteFire
77,Remote surgery
78,Normalized Difference Red Edge Index
79,Metabarcoding
80,Vanderbilt exoskeleton
81,Halton sequence
82,Interruption science
83,Visual computing
84,Belief revision
85,UJI Online Robot
86,Trans–New Guinea languages
87,Robotoid
88,Kymograph
89,Carnage Heart
90,Robot Battle (Macintosh game)
91,Abell S1077
92,Foldit
93,HR3D
94,Virtual reality in primary education
95,Subsumption architecture
96,How Bad is Your Spotify?
97,Gabor atom
98,Musculoskeletal injury
99,Carole Goble
100,Pixel connectivity
101,Naver Papago
102,Zyro
103,Laurel Kent
104,Tom Clancy's Net Force
105,Syntactic noise
106,Lingyun Gu
107,Condensation algorithm
108,Rules extraction system family
109,Grafting (decision trees)
110,Finger Lakes
111,Microsoft Spider Solitaire
112,Digital elevation model
113,SEX (computing)
114,WSFN (programming language)
115,Blair MacIntyre
116,Talkman
117,Morphological dictionary
118,Eastern Jebel languages
119,Ensemble coding
120,RB5X
121,X-FEN
122,Nanosemantics
123,Emergent materialism
124,UberConference
125,Coinduction
126,Legal Knowledge Interchange Format
127,Logic learning machine
128,Raimo Olavi Toivonen
129,2-XL
130,Conference on Knowledge Discovery and Data Mining
131,Nitroamine
132,Combined DNA Index System
133,Humans Need Not Apply
134,New Energy and Industrial Technology Development Organization
135,ABB Group
136,GazoPa
137,"Artificial intelligence, situated approach"
138,S.A.I.N.T. (Strategic Artificially Intelligent Nuclear Transport)
139,AI Now Institute
140,London Stereoscopic and Photographic Company
141,ZhuZhu Pets
142,Kill Decision
143,KOS-MOS
144,Thiadiazoles
145,Rayna Kapec
146,End-user development
147,Human–robot interaction
148,Proactive learning
149,E-puck mobile robot
150,Free viewpoint television
151,Segs4Vets
152,AuthenTec
153,Mark Pauline
154,Guardian (Marvel Comics)
155,Morphological pattern
156,IRobot Create
157,Ken Sakamura
158,Homeland (Doctorow novel)
159,Placebo button
160,C.H.O.M.P.S.
161,European Thesaurus on International Relations and Area Studies
162,Microphone
163,Outside–in software development
164,Vice (2015 film)
165,Scratch input
166,G.726
167,Antlia Cluster
168,Welding robot
169,RoboGames
170,Cobweb (clustering)
171,TinEye
172,Turing Phone
173,Robbo (video game)
174,ZigZag (software)
175,Nambikwaran languages
176,Stability (learning theory)
177,Chess.com
178,Multi-Picture Format
179,Dodkin's Job
180,GestureTek
181,Pixel density
182,Connected toys
183,Third Arm Weapon Interface System
184,Panomorph
185,Leonardo (robot)
186,Artificial chemistry
187,Cultural Objects Name Authority
188,Derek (The Good Place character)
189,Werner's Nomenclature of Colours
190,David Luckham
191,Infomax
192,Psychology of reasoning
193,International Committee on Computational Linguistics
194,CougarTech
195,Description logic
196,SPSS Modeler
197,Interface apparency
198,Uchu Sentai Kyuranger
199,ETBLAST
200,Rapid prototyping
201,Not Lives
202,Multitask optimization
203,Paper generator
204,Empirical risk minimization
205,Warren Mears
206,Robbi (character)
207,Retinal birefringence scanning
208,The Photogrammetric Record
209,Freedom™
210,ST Robotics
211,Text nailing
212,.hack
213,Abhidhānappadīpikā
214,Pitman–Yor process
215,Hough transform
216,Instituto de Automática
217,Chicago Engineering Design Team
218,Alan Kotok
219,Asprox botnet
220,Flok (company)
221,Technological singularity
222,Semantic search
223,Softmax function
224,Trover Saves the Universe
225,Bishnu S. Atal
226,Inspector window
227,Leo Buss
228,Richardson–Lucy deconvolution
229,Segmentation Rules eXchange
230,Wheelbarrow (robot)
231,Robomagellan
